Year,Hits,FP,FN,TN,Hit Rate,Precision,Recall,F1,MCC,Accuracy(*),Predicted,Actual QF
2015,3,5,1,116,0.375,0.375,0.75,0.5,0.5096,0.952,"Djokovic, Federer, Murray, Nadal, Hewitt, Cilic, Dimitrov, Tsonga","Djokovic, Federer, Gasquet, Murray"
2016,2,6,2,116,0.25,0.25,0.5,0.3333,0.3241,0.9365,"Djokovic, Federer, Murray, Tsonga, Dimitrov, Bautista, Nishikori, Gasquet","Berdych, Federer, Murray, Raonic"
2018,2,6,2,114,0.25,0.25,0.5,0.3333,0.3236,0.9355,"Djokovic, Federer, Nadal, Nishikori, Raonic, Cilic, Kyrgios, Gasquet","Anderson, Djokovic, Isner, Nadal"
2019,4,4,0,118,0.5,0.5,1.0,0.6667,0.6954,0.9683,"Djokovic, Federer, Nadal, Anderson, Raonic, Cilic, Gasquet, Bautista","Bautista, Djokovic, Federer, Nadal"
2021,2,6,2,116,0.25,0.25,0.5,0.3333,0.3241,0.9365,"Djokovic, Federer, Cilic, Isner, Kecmanovic, Murray, Berrettini, Anderson","Berrettini, Djokovic, Hurkacz, Shapovalov"
2022,3,5,1,115,0.375,0.375,0.75,0.5,0.5094,0.9516,"Djokovic, Nadal, Murray, Isner, Sonego, Humbert, Bautista, Kyrgios","Djokovic, Kyrgios, Nadal, Norrie"
2023,3,5,1,117,0.375,0.375,0.75,0.5,0.5098,0.9524,"Djokovic, Berrettini, Murray, Raonic, Alcaraz, Hurkacz, Medvedev, Van","Alcaraz, Djokovic, Medvedev, Sinner"
2025,3,5,1,114,0.375,0.375,0.75,0.5,0.5093,0.9512,"Alcaraz, Djokovic, Berrettini, Sinner, Medvedev, Cilic, Dimitrov, Bautista","Alcaraz, Djokovic, Fritz, Sinner"
